day,TMinFH,TMaxFH,TMinB,TMaxB
2022-03-31,5.7,9.5,5.1,8.8
2022-03-30,6.9,11.8,6.0,11.7
2022-03-29,-0.3,18.2,1.9,17.6
2022-03-28,-3.3,19.8,-1.2,20.7
2022-03-27,-4.7,18.5,-2.7,19.5
2022-03-26,-3.4,17.6,-3.1,18.2
2022-03-25,-3.7,17.9,-2.4,18.5
2022-03-24,-4.7,19.1,-3.3,19.6
2022-03-23,-5.9,18.2,-3.9,19.7
2022-03-22,-3.6,15.9,-5.6,16.8
2022-03-21,-4.5,13.5,-5.3,14.5
2022-03-20,-0.9,13.3,-4.7,14.7
2022-03-19,0.7,10.0,-3.8,10.2
2022-03-18,1.4,12.2,0.9,11.5
2022-03-17,1.0,9.5,1.4,9.7
2022-03-16,4.1,11.5,2.7,9.3
2022-03-15,0.1,11.3,-0.2,12.5
2022-03-14,-4.1,15.2,-2.8,16.1
2022-03-13,-4.1,14.1,-6.0,15.5
2022-03-12,-4.1,11.9,-5.9,13.3
